Sample	Input	Quality_controlled	Decontaminated	Entropy_filtered
DP294_S336_L003	35964368	27260302	27253916	27251036
DP295_S338_L003	37716954	29174454	29170898	29168404
DP296_S339_L003	39963514	30695218	30680366	30677231
DP297_S340_L003	35102084	26691108	26687526	26682863
DP299_S348_L003	33643912	24540890	24539416	24522285
DP300_S349_L003	31325862	23496950	23368606	23362577
DP301_S350_L003	34129476	25070582	25067520	25047955
DP302_S352_L003	26069648	18783528	18779536	18602955
DP303_S371_L003	37034356	27801534	27785966	27781416
DP304_S372_L003	39841526	29658484	29644478	29639817
DP305_S373_L003	31923784	24227274	24219958	24216521
DP307_S375_L003	34004482	24364504	24358980	24354139
DP308_S376_L003	27593532	20368796	20350840	20346849
DP309_S377_L003	25853614	18383554	18382248	18376099
DP310_S378_L003	30510050	22297800	22296318	22280428
DC168_UAB832_S26_L001	67408628	48372046	47911638	47907514
DC169_UAB832_S27_L001	23435820	15656778	15633708	15631613
DC170_UAB832_S28_L001	54188736	40616160	40562346	40558915
DC171_UAB832_S29_L001	59230046	17226678	17223038	17216950
DC172_UAB832_S30_L001	42406712	31010572	31000068	30997400
DC173_UAB832_S31_L001	68295918	49744274	49738244	49731368
DC174_UAB832_S32_L001	81806960	58779790	58774442	58767378
DC175_UAB832_S33_L001	72459164	51409414	51389786	51385231
DC176_UAB832_S34_L001	64076634	44601430	44464020	44460378
DC177_UAB832_S35_L001	47568622	32855050	32736592	32732378
DC178_UAB832_S61_L001	65021318	44966558	44961636	44954871
DC179_UAB832_S62_L001	72945710	52441860	52431118	52424782
DC181_UAB832_S63_L001	74442410	50313452	50278572	50272976
DC182_UAB832_S64_L001	69015306	48560214	48530698	48526373
DC183_UAB832_S65_L001	55288144	38319218	38225000	38221330
DC185_UAB832_S66_L001	78141322	57650986	57634328	57625722
DC186_UAB832_S67_L001	47457298	35407786	35402020	35398918
DC187_UAB832_S68_L001	87719614	63751654	63694504	63682292
DC188_UAB832_S69_L001	48680486	34902028	34899586	34894409
DC189_UAB832_S70_L001	74800250	52870924	52851710	52843194
DC193_UAB832_S85_L001	62397338	41818770	41809308	41800505
DC194_UAB832_S86_L001	54507866	38742204	38734388	38729849
DC195_UAB832_S87_L001	73902468	52370502	52328880	52324341
DC196_UAB832_S88_L001	80381174	46994196	46950410	46946270
DC198_UAB832_S89_L001	91711796	64214900	63899122	63887193
DC199_UAB832_S90_L001	70592472	49170362	49148066	49142971
DC200_UAB832_S91_L001	81538810	56832192	56803514	56793465
DC201_UAB832_S92_L001	74740672	54808600	54797674	54792432
