ET Within_ET_space
DP380_UAB832_S72_L001 ET_B FALSE
DP379_UAB832_S71_L001 ET_F TRUE
DP377_UAB832_S60_L001 ET_B TRUE
DP376_UAB832_S59_L001 ET_F TRUE
DP375_UAB832_S58_L001 ET_B FALSE
DP373_UAB832_S57_L001 ET_F TRUE
DP371_UAB832_S56_L001 ET_B TRUE
DP369_UAB832_S55_L001 ET_B FALSE
DP368_UAB832_S54_L001 ET_F TRUE
DP367_UAB832_S53_L001 ET_F FALSE
DP364_UAB832_S52_L001 ET_F FALSE
DP362_UAB832_S51_L001 ET_F FALSE
DP361_UAB832_S50_L001 ET_B FALSE
DP360_UAB832_S49_L001 ET_B FALSE
DP359_UAB832_S48_L001 ET_B TRUE
DP357_UAB832V2_S95_L001 ET_F FALSE
DP356_UAB832_S47_L001 ET_B TRUE
DP354_UAB832_S46_L001 ET_B TRUE
DP353_UAB832_S45_L001 ET_B TRUE
DP352_UAB832_S44_L001 ET_P TRUE
DP351_UAB832_S43_L001 ET_B FALSE
DP350_UAB832_S42_L001 ET_B FALSE
DP349_UAB832_S41_L001 ET_B FALSE
DP348_UAB832_S40_L001 ET_F TRUE
DP347_UAB832_S39_L001 ET_F TRUE
DP346_UAB832_S38_L001 ET_P TRUE
DP342_UAB832_S25_L001 ET_B FALSE
DP341_UAB832_S24_L001 ET_B FALSE
DP340_UAB832_S23_L001 ET_B FALSE
DP339_UAB832_S22_L001 ET_B FALSE
DP338_UAB832_S21_L001 ET_B TRUE
DP337_UAB832_S20_L001 ET_B TRUE
DP336_UAB832_S19_L001 ET_F TRUE
DP335_UAB832_S18_L001 ET_B TRUE
DP334_UAB832_S17_L001 ET_P FALSE
DP333_UAB832_S16_L001 ET_P FALSE
DP332_UAB832_S15_L001 ET_F FALSE
DP331_UAB832_S14_L001 ET_B FALSE
DP328_UAB832_S13_L001 ET_B TRUE
DP327_UAB832_S12_L001 ET_B FALSE
DP326_UAB832_S11_L001 ET_B TRUE
DP324_UAB832_S10_L001 ET_B TRUE
DP323_UAB832_S9_L001 ET_B FALSE
DP322_UAB832_S8_L001 ET_B TRUE
DP321_UAB832_S7_L001 ET_F TRUE
DP320_UAB832_S6_L001 ET_B TRUE
DP319_UAB832_S5_L001 ET_B TRUE
DP317_UAB832_S4_L001 ET_B TRUE
DP316_UAB832_S3_L001 ET_B FALSE
DP313_UAB832_S2_L001 ET_B TRUE
DP312_UAB832_S1_L001 ET_B TRUE
DC314_UAB832_S75_L004 ET_P TRUE
DC313_UAB832_S74_L004 ET_F TRUE
DC312_UAB832_S73_L004 ET_F TRUE
DC310_UAB832_S72_L004 ET_B TRUE
DC308_UAB832_S71_L004 ET_B TRUE
DC307_UAB832_S70_L004 ET_F FALSE
DC305_UAB832_S68_L004 ET_F TRUE
DC302_UAB832_S67_L004 ET_B TRUE
DC300_UAB832V2_S96_L004 ET_B TRUE
DC298_UAB832_S66_L004 ET_B TRUE
DC297_UAB832_S65_L004 ET_B FALSE
DC296_UAB832V2_S95_L004 ET_B TRUE
DC294_UAB832_S64_L004 ET_F TRUE
DC293_UAB832_S63_L004 ET_B TRUE
DC292_UAB832_S62_L004 ET_F FALSE
DC291_UAB832_S61_L004 ET_F TRUE
DC290_UAB832_S34_L004 ET_B FALSE
DC288_UAB832_S33_L004 ET_P TRUE
DC287_UAB832_S32_L004 ET_B TRUE
DC285_UAB832_S31_L004 ET_F FALSE
DC283_UAB832_S30_L004 ET_F TRUE
DC282_UAB832_S29_L004 ET_B TRUE
DC281_UAB832V2_S94_L004 ET_B TRUE
DC279_UAB832_S28_L004 ET_F TRUE
DC277_UAB832_S27_L004 ET_B FALSE
DC276_UAB832_S26_L004 ET_B TRUE
DC274_UAB832_S94_L003 ET_B TRUE
DC273_UAB832_S93_L003 ET_F FALSE
DC271_UAB832_S92_L003 ET_B FALSE
DC270_UAB832_S91_L003 ET_B TRUE
DC269_UAB832_S90_L003 ET_B TRUE
DC268_UAB832_S89_L003 ET_B TRUE
DC267_UAB832_S88_L003 ET_B TRUE
DC266_UAB832_S87_L003 ET_P TRUE
DC265_UAB832_S86_L003 ET_P TRUE
DC263_UAB832_S85_L003 ET_B TRUE
DC261_UAB832_S58_L003 ET_B TRUE
DC259_UAB832_S57_L003 ET_B TRUE
